XB,XC,XD,XE,XF,XG,XH,XI,XJ,XK,XL,XM,XN,XO,XP,XQ,XR,XS,XT,XU,Class
0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,FALSE
1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,TRUE
1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,FALSE
1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,TRUE
0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,FALSE
0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,TRUE
0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,FALSE
1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,TRUE
1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,FALSE
0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,TRUE
0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,FALSE
0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,TRUE
0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,FALSE
1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,TRUE
1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,FALSE
0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,TRUE
0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,FALSE
0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,TRUE
1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,FALSE
0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,TRUE
0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,FALSE
1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,TRUE
0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,FALSE
1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,TRUE
0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,FALSE
0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,TRUE
1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,FALSE
0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,TRUE
1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,FALSE
1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,TRUE
0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,FALSE
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,TRUE
1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,FALSE
0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,TRUE
0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,FALSE
0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,TRUE
0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,FALSE
0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,TRUE
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,FALSE
1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,TRUE
1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,FALSE
1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,TRUE
0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,FALSE
1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,TRUE
0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,FALSE
0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,TRUE
0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,FALSE
0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,TRUE
1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,FALSE
0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,TRUE
1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,FALSE
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,TRUE
0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,FALSE
1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,TRUE
1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,FALSE
1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,TRUE
0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,FALSE
1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,TRUE
0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,FALSE
0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,TRUE
1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,FALSE
0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,TRUE
0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,FALSE
1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,TRUE
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,FALSE
0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,TRUE
1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,FALSE
1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,TRUE
0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,FALSE
1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,TRUE
0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,FALSE
1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,TRUE
0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,FALSE
0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,TRUE
0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,FALSE
0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,TRUE
0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,FALSE
1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,TRUE
1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,FALSE
0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,TRUE
1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,FALSE
0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,TRUE
0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,FALSE
0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,TRUE
1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,FALSE
1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,TRUE
1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,FALSE
1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,TRUE
0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,FALSE
1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,TRUE
0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,FALSE
1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,TRUE
1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,FALSE
1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,TRUE
0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,FALSE
1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,TRUE
1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,FALSE
0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,TRUE
1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,FALSE
0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,TRUE
0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,FALSE
0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,TRUE
1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,FALSE
0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,TRUE
0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,FALSE
0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,TRUE
1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,FALSE
0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,TRUE
1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,FALSE
1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,TRUE
0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,FALSE
1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,TRUE
1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,FALSE
1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,TRUE
1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,FALSE
0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,TRUE
1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,FALSE
1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,TRUE
1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,FALSE
1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,TRUE
1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,FALSE
0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,TRUE
1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,FALSE
0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,TRUE
0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,FALSE
0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,TRUE
1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,FALSE
0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,TRUE
1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,FALSE
0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,TRUE
0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,FALSE
1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,TRUE
1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,FALSE
0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,TRUE
0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,FALSE
0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,TRUE
0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,FALSE
1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,TRUE
0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,FALSE
1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,TRUE
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,FALSE
1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,TRUE
0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,FALSE
1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,TRUE
0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,FALSE
1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,TRUE
0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,FALSE
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,TRUE
1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,FALSE
0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,TRUE
0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,FALSE
1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,TRUE
0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,FALSE
0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,TRUE
0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,FALSE
1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,TRUE
1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,FALSE
0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,TRUE
0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,FALSE
0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,TRUE
0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,FALSE
1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,TRUE
0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,FALSE
0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,TRUE
0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,FALSE
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,TRUE
0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,FALSE
1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,TRUE
1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,FALSE
1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,TRUE
1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,FALSE
1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,TRUE
1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,FALSE
1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,TRUE
0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,FALSE
0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,TRUE
1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,FALSE
1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,TRUE
0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,FALSE
0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,TRUE
0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,FALSE
0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,TRUE
0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,FALSE
0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,TRUE
0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,FALSE
1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,TRUE
0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,FALSE
0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,TRUE
0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,FALSE
1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,TRUE
1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,FALSE
0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,TRUE
1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,FALSE
1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,TRUE
1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,FALSE
1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,TRUE
0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,FALSE
0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,TRUE
0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,FALSE
1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,TRUE
1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,FALSE
