Name,Class,Intensity,Symmetry
Row   17,one,0.159934,-1.742
Row   43,one,0.124609,-0.474438
Row   46,one,0.219117,-0.9045
Row   53,one,0.244779,-2.505625
Row   67,one,0.105563,-0.218562
Row   70,one,0.151232,-0.25875
Row   78,one,0.201889,-0.887312
Row   80,one,0.176687,-1.909875
Row  129,one,0.193293,-1.158937
Row  134,one,0.202928,-0.54675
Row  157,one,0.131859,-1.020188
Row  159,one,0.167527,-0.543063
Row  181,one,0.114666,-0.374312
Row  189,one,0.129807,-0.552562
Row  191,one,0.139934,-0.583688
Row  193,one,0.112895,-0.449813
Row  202,one,0.111533,-1.83
Row  207,one,0.155316,-0.8105
Row  211,one,0.209295,-0.735812
Row  227,one,0.204629,-1.092688
Row  234,one,0.217953,-2.963687
Row  239,one,0.124695,-0.683438
Row  244,one,0.191029,-0.453937
Row  249,one,0.197834,-0.579562
Row  251,one,0.212754,-0.846938
Row  274,one,0.136955,-0.542937
Row  289,one,0.184189,-0.677562
Row  315,one,0.143172,-0.583187
Row  317,one,0.133002,-0.775125
Row  318,one,0.119924,-0.611375
Row  319,one,0.111822,-1.236125
Row  329,one,0.114742,-0.659
Row  342,one,0.130504,-0.62475
Row  344,one,0.113469,-0.347687
Row  347,one,0.236301,-0.596938
Row  349,one,0.163824,-0.460875
Row  355,one,0.137871,-2.034813
Row  359,one,0.110904,-0.400625
Row  360,one,0.168191,-0.418438
Row  363,one,0.195281,-0.641312
Row  365,one,0.127203,-0.282625
Row  370,one,0.127479,-0.807562
Row  373,one,0.176449,-0.714125
Row  375,one,0.154682,-1.505812
Row  380,one,0.166596,-0.825375
Row  384,one,0.178855,-1.043688
Row  386,one,0.174771,-0.899687
Row  389,one,0.15318,-0.6675
Row  391,one,0.194572,-0.99575
Row  393,one,0.182027,-0.866563
Row  394,one,0.141047,-1.740063
Row  398,one,0.139955,-0.298812
Row  399,one,0.127551,-0.554188
Row  401,one,0.151475,-0.44375
Row  404,one,0.140826,-0.635312
Row  409,one,0.244443,-1.056125
Row  413,one,0.22852,-0.640875
Row  414,one,0.140939,-0.280938
Row  419,one,0.174891,-1.16725
Row  422,one,0.259248,-1.523562
Row  424,one,0.219861,-2.388
Row  429,one,0.182439,-0.615437
Row  436,one,0.097322,-0.33125
Row  437,one,0.100738,-2.183562
Row  441,one,0.150576,-0.299187
Row  451,one,0.097842,-0.364
Row  452,one,0.092469,-0.368625
Row  487,one,0.113494,-0.244812
Row  504,one,0.117096,-0.347562
Row  514,one,0.088404,-0.443625
Row  515,one,0.089596,-0.5555
Row  518,one,0.116895,-0.63075
Row  525,one,0.205223,-1.077187
Row  535,one,0.16449,-1.306188
Row  536,one,0.144023,-0.533312
Row  545,one,0.153395,-0.526312
Row  560,one,0.164383,-0.842
Row  573,one,0.115738,-0.442312
Row  579,one,0.129994,-1.351938
Row  584,one,0.14909,-0.96075
Row  586,one,0.084467,-0.452875
Row  594,one,0.140342,-1.464813
Row  606,one,0.190652,-1.014375
Row  609,one,0.217762,-0.528062
Row  620,one,0.144129,-0.87175
Row  623,one,0.124863,-0.666937
Row  629,one,0.102721,-0.558875
Row  644,one,0.198549,-0.526875
Row  653,one,0.200482,-0.969812
Row  665,one,0.174732,-1.1255
Row  676,one,0.251717,-1.494625
Row  686,one,0.182027,-0.698438
Row  697,one,0.171,-0.698
Row  700,one,0.224904,-0.794687
Row  702,one,0.181469,-0.390937
Row  725,one,0.174371,-0.61975
Row  728,one,0.15202,-2.601688
Row  738,one,0.123424,-0.33825
Row  741,one,0.164457,-0.449688
Row  743,one,0.12958,-0.979313
Row  746,one,0.21484,-0.86825
Row  760,one,0.164795,-0.318125
Row  766,one,0.178379,-0.935
Row  767,one,0.151387,-0.952562
Row  768,one,0.20033,-2.143
Row  769,one,0.174391,-0.574313
Row  786,one,0.10366,-0.441875
Row  851,one,0.144551,-1.005875
Row  859,one,0.19617,-0.5875
Row  884,one,0.186863,-0.532375
Row  890,one,0.165867,-1.749937
Row  897,one,0.157596,-0.537312
Row  901,one,0.116912,-0.890938
Row  904,one,0.204133,-0.65675
Row  926,one,0.102078,-0.9515
Row  943,one,0.135678,-0.965875
Row  948,one,0.121748,-0.211188
Row  970,one,0.233949,-2.10275
Row  979,one,0.142016,-0.379563
Row  989,one,0.147441,-1.422813
Row 1013,one,0.179652,-0.938625
Row 1015,one,0.172893,-1.958625
Row 1018,one,0.066008,-0.81975
Row 1020,one,0.068289,-0.758062
Row 1044,one,0.143789,-0.781375
Row 1069,one,0.145262,-0.472438
Row 1078,one,0.204283,-0.701812
Row 1079,one,0.190617,-0.943625
Row 1083,one,0.152225,-0.247625
Row 1091,one,0.125881,-2.06625
Row 1121,one,0.22935,-0.9245
Row 1149,one,0.113002,-0.950937
Row 1150,one,0.139662,-0.581812
Row 1151,one,0.10898,-0.822438
Row 1154,one,0.221205,-1.8915
Row 1159,one,0.123268,-0.807125
Row 1174,one,0.103172,-0.619938
Row 1178,one,0.183629,-0.479125
Row 1179,one,0.237289,-0.590437
Row 1184,one,0.150348,-0.27675
Row 1189,one,0.169936,-0.567625
Row 1201,one,0.127697,-0.621875
Row 1204,one,0.17185,-0.759062
Row 1215,one,0.1284,-0.425687
Row 1220,one,0.130551,-0.396813
Row 1230,one,0.150117,-0.363812
Row 1236,one,0.08101,-0.554688
Row 1248,one,0.159002,-0.72975
Row 1253,one,0.127379,-0.464
Row 1256,one,0.122125,-0.342562
Row 1268,one,0.116133,-0.807688
Row 1270,one,0.093076,-0.457813
Row 1309,one,0.135133,-2.307812
Row 1315,one,0.104547,-0.580688
Row 1332,one,0.29474,-1.636625
Row 1335,one,0.263104,-2.9735
Row 1337,one,0.162395,-0.967375
Row 1350,one,0.112039,-0.369437
Row 1364,one,0.135678,-1.430187
Row 1365,one,0.118729,-0.394937
Row 1389,one,0.099912,-0.653438
Row 1410,one,0.155303,-0.94175
Row 1412,one,0.192238,-0.544687
Row 1419,one,0.197045,-1.194625
Row 1440,one,0.15691,-0.681875
Row 1442,one,0.141225,-0.594562
Row 1447,one,0.170391,-1.184875
Row 1466,one,0.106133,-0.622313
Row 1471,one,0.16777,-0.681438
Row 1472,one,0.186986,-0.376812
Row 1476,one,0.127727,-0.252563
Row 1478,one,0.159666,-0.448437
Row 1481,one,0.11,-1.546625
Row 1486,one,0.089846,-0.762938
Row 1487,one,0.101922,-0.417
Row 1488,one,0.096195,-0.431312
Row 1492,one,0.137563,-0.546375
Row 1506,one,0.182887,-0.9035
Row 1508,one,0.129428,-0.428687
Row 1513,one,0.111109,-1.581562
Row 1520,one,0.15492,-0.356938
Row 1525,one,0.111367,-0.325875
Row 1530,one,0.091736,-0.448062
Row 1535,one,0.101639,-0.292938
Row 1536,one,0.133498,-0.673
Row 1540,one,0.17866,-0.735688
Row 1541,one,0.151291,-0.778125
Row 1542,one,0.153396,-0.291063
Row 1547,one,0.118986,-0.47525
Row 1548,one,0.106654,-0.277625
Row 1563,one,0.102631,-0.430188
Row 1568,one,0.111725,-0.333937
Row 1583,one,0.121141,-0.293625
Row 1598,one,0.133574,-0.441937
Row 1611,one,0.216924,-0.811438
Row 1613,one,0.15973,-0.389437
Row 1618,one,0.083691,-0.464187
Row 1626,one,0.157701,-0.417125
Row 1631,one,0.264453,-3.376438
Row 1635,one,0.110482,-0.593688
Row 1636,one,0.118449,-0.331313
Row 1638,one,0.139523,-0.481
Row 1639,one,0.173672,-0.924625
Row 1645,one,0.176289,-0.604563
Row 1651,one,0.128021,-0.473875
Row 1656,one,0.173826,-0.189062
Row 1660,one,0.177277,-0.720313
Row 1661,one,0.15374,-0.769563
Row 1668,one,0.193453,-0.729563
Row 1683,one,0.092609,-0.463938
Row 1716,one,0.140947,-0.245438
Row 1721,one,0.253113,-0.758188
Row 1733,one,0.152254,-0.37725
Row 1735,one,0.187611,-1.815687
Row 1738,one,0.102646,-0.6325
Row 1740,one,0.122494,-0.44425
Row 1742,one,0.109271,-0.388688
Row 1743,one,0.100314,-0.450937
Row 1745,one,0.118727,-0.37475
Row 1748,one,0.124027,-0.495937
Row 1753,one,0.149512,-0.521813
Row 1755,one,0.143121,-0.369188
Row 1758,one,0.171865,-0.356
Row 1760,one,0.13358,-0.706438
Row 1762,one,0.128186,-0.558562
Row 1763,one,0.180045,-0.816937
Row 1765,one,0.263883,-1.450937
Row 1780,one,0.155346,-0.48825
Row 1782,one,0.147943,-0.558063
Row 1802,one,0.084725,-0.516375
Row 1809,one,0.157367,-0.415625
Row 1814,one,0.218113,-3.4345
Row 1815,one,0.256926,-4.121313
Row 1816,one,0.270752,-4.841875
Row 1819,one,0.126949,-0.722125
Row 1821,one,0.113953,-0.530062
Row 1824,one,0.136141,-0.309937
Row 1829,one,0.120996,-0.648312
Row 1834,one,0.139674,-0.503687
Row 1835,one,0.184906,-1.204813
Row 1839,one,0.201857,-0.586875
Row 1840,one,0.226111,-0.835562
Row 1841,one,0.198049,-0.419063
Row 1862,one,0.176082,-0.484438
Row 1873,one,0.22902,-0.504437
Row 1875,one,0.232234,-0.955063
Row 1885,one,0.217121,-3.179187
Row 1887,one,0.175184,-0.925875
Row 1892,one,0.162787,-0.776687
Row 1895,one,0.216299,-0.4035
Row 1896,one,0.210586,-0.497437
Row 1911,one,0.167996,-0.430188
Row 1922,one,0.114582,-0.51125
Row 1927,one,0.15433,-0.531188
Row 1930,one,0.119928,-0.21175
Row 1935,one,0.181166,-0.950375
Row 1940,one,0.166219,-0.349813
Row 1945,one,0.13202,-1.067063
Row 1949,one,0.09626,-0.476313
Row 1960,one,0.139912,-0.39925
Row 1966,one,0.114893,-1.734125
Row 1985,one,0.192791,-0.648125
Row 1990,one,0.177002,-0.955937
Row 2007,one,0.188977,-0.781312
Row   33,five,0.32484,-6.360563
Row   37,five,0.25118,-4.389375
Row   52,five,0.3721,-6.381437
Row   57,five,0.229771,-3.042813
Row  117,five,0.290127,-5.095937
Row  122,five,0.306588,-4.924563
Row  127,five,0.303193,-4.426812
Row  132,five,0.140924,-3.127312
Row  148,five,0.352303,-3.970687
Row  196,five,0.248035,-4.82875
Row  205,five,0.356383,-5.407938
Row  240,five,0.23983,-4.56275
Row  242,five,0.39183,-5.298938
Row  243,five,0.360863,-5.726312
Row  247,five,0.345961,-5.157375
Row  248,five,0.247604,-3.941312
Row  307,five,0.205854,-3.533187
Row  312,five,0.367213,-5.226
Row  324,five,0.251668,-4.344375
Row  333,five,0.195553,-3.239125
Row  352,five,0.201965,-4.143187
Row  438,five,0.198963,-3.56375
Row  449,five,0.234521,-3.797375
Row  462,five,0.43834,-6.332562
Row  482,five,0.32158,-5.158563
Row  490,five,0.189725,-3.179875
Row  519,five,0.297336,-4.099938
Row  557,five,0.263918,-4.6915
Row  562,five,0.285107,-4.185625
Row  600,five,0.286689,-4.868812
Row  602,five,0.45165,-5.737312
Row  605,five,0.259588,-3.709812
Row  612,five,0.451471,-5.843625
Row  614,five,0.503453,-4.411437
Row  641,five,0.441383,-5.786313
Row  651,five,0.389977,-6.515313
Row  663,five,0.222771,-4.127125
Row  672,five,0.347377,-5.65725
Row  701,five,0.387664,-3.916812
Row  751,five,0.358064,-5.348562
Row  794,five,0.191244,-3.062125
Row  796,five,0.194727,-2.88725
Row  799,five,0.193064,-3.313875
Row  805,five,0.173664,-3.719937
Row  809,five,0.38942,-6.632937
Row  861,five,0.277305,-3.737875
Row  881,five,0.240395,-3.375
Row  907,five,0.30243,-4.996875
Row  919,five,0.191641,-3.9325
Row  953,five,0.269451,-4.637937
Row  962,five,0.399086,-6.719125
Row  966,five,0.369357,-5.698875
Row  994,five,0.317563,-3.8805
Row 1011,five,0.278338,-4.512125
Row 1012,five,0.295447,-5.484687
Row 1024,five,0.163535,-3.668375
Row 1025,five,0.153773,-3.465937
Row 1033,five,0.283209,-4.741562
Row 1034,five,0.274602,-4.549
Row 1038,five,0.176797,-3.548313
Row 1041,five,0.404049,-6.181625
Row 1046,five,0.329318,-4.061125
Row 1048,five,0.376518,-5.438125
Row 1051,five,0.323727,-5.459125
Row 1056,five,0.188057,-3.826875
Row 1058,five,0.162402,-3.55725
Row 1061,five,0.284465,-4.473875
Row 1066,five,0.247766,-4.804437
Row 1128,five,0.319479,-5.076875
Row 1134,five,0.206846,-3.79675
Row 1136,five,0.192498,-4.48725
Row 1182,five,0.337996,-6.131687
Row 1186,five,0.29924,-5.335813
Row 1187,five,0.268062,-4.914813
Row 1197,five,0.326322,-5.081313
Row 1205,five,0.351197,-5.723125
Row 1239,five,0.40373,-4.73325
Row 1261,five,0.24449,-3.113187
Row 1302,five,0.385014,-4.70025
Row 1304,five,0.356281,-4.486562
Row 1313,five,0.286656,-4.7815
Row 1314,five,0.216125,-3.7895
Row 1323,five,0.31734,-5.23425
Row 1357,five,0.345398,-5.358437
Row 1374,five,0.322826,-5.8495
Row 1377,five,0.201949,-3.388438
Row 1378,five,0.27899,-4.833875
Row 1385,five,0.235109,-4.244813
Row 1390,five,0.420488,-6.514687
Row 1392,five,0.606639,-5.601438
Row 1395,five,0.249025,-4.507688
Row 1400,five,0.373982,-6.175688
Row 1408,five,0.450908,-5.183562
Row 1445,five,0.326959,-6.1215
Row 1446,five,0.329354,-6.081812
Row 1450,five,0.284621,-5.751938
Row 1458,five,0.29659,-5.351187
Row 1459,five,0.390756,-5.826937
Row 1493,five,0.347586,-5.174938
Row 1518,five,0.455209,-5.384875
Row 1538,five,0.239051,-5.328688
Row 1588,five,0.166656,-3.534187
Row 1601,five,0.428754,-5.79575
Row 1602,five,0.547627,-6.20125
Row 1608,five,0.362586,-5.279187
Row 1609,five,0.401752,-5.997813
Row 1610,five,0.306221,-5.36575
Row 1643,five,0.433697,-5.180313
Row 1652,five,0.241414,-4.795
Row 1657,five,0.463721,-6.532063
Row 1662,five,0.216195,-5.091312
Row 1664,five,0.192223,-4.089875
Row 1665,five,0.226445,-3.616
Row 1670,five,0.228623,-4.702562
Row 1682,five,0.153934,-3.642562
Row 1687,five,0.315418,-4.066125
Row 1689,five,0.267338,-4.610563
Row 1695,five,0.333316,-4.292562
Row 1711,five,0.338588,-4.88225
Row 1712,five,0.319125,-5.105188
Row 1722,five,0.349012,-6.132625
Row 1727,five,0.227883,-4.849125
Row 1751,five,0.253463,-4.055813
Row 1752,five,0.206867,-4.678438
Row 1766,five,0.342576,-4.068062
Row 1769,five,0.239514,-4.894188
Row 1787,five,0.276613,-5.585125
Row 1801,five,0.295018,-4.59875
Row 1817,five,0.285416,-4.909187
Row 1825,five,0.272902,-4.855313
Row 1847,five,0.243543,-3.948125
Row 1870,five,0.351324,-7.7
Row 1871,five,0.411016,-7.562
Row 1880,five,0.288709,-4.184563
Row 1881,five,0.294021,-4.512625
Row 1890,five,0.415215,-5.133063
Row 1900,five,0.19259,-3.436812
Row 1917,five,0.39099,-5.22925
Row 1928,five,0.193662,-3.996875
Row 1929,five,0.253225,-4.572687
Row 1933,five,0.353516,-5.470875
Row 1934,five,0.44993,-5.614687
Row 1938,five,0.37332,-6.305187
Row 1939,five,0.344652,-5.3205
Row 1943,five,0.261027,-4.528
Row 1944,five,0.284953,-4.282
Row 1952,five,0.154426,-2.733
Row 1964,five,0.191479,-3.40425
Row 1968,five,0.421271,-5.11925
Row 1969,five,0.389982,-6.255625
Row 1973,five,0.184225,-3.601313
Row 1974,five,0.225207,-4.501688
Row 1978,five,0.229166,-3.94025
Row 1979,five,0.223428,-4.2915
Row 1983,five,0.362895,-4.35425
Row 1984,five,0.324154,-5.089062
Row 1988,five,0.36032,-5.7375
Row 1989,five,0.445924,-5.343562
Row 1993,five,0.38498,-5.086
Row 1999,five,0.339586,-4.722875
